N‰ringsv‰rden per 100 gram livsmedel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kJ)(kJ);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa m‰ttade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelom‰ttade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa flerom‰ttade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa lÂnga n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);J‰rn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg)
Abborre filÈ panerad stekt;1305;738;176;20,4;7,8;6;0,3;1,4;2,3;63,2;0;0,1;0,1;0;1;1;0;0;0;0,6;0,2;0;4,1;0,1;3,9;2,1;1,2;1,3;0;0,5;0,5;0,1;0;0;0,1;0;101,5;53;52;12;20,43;2,7;9;0,16;0,13;0;5,2;9;0,37;2,88;234;16;70;57;0,5;24;391;30;545;43,3;0,69
Abborre kokt;1304;457;109;25,2;0,8;0;0;0,9;2,1;72;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0,1;0;0,1;0,3;;0;0;;0;0,2;0;0;0,2;0;99;20;20;0;27,22;0,9;1;0,17;0,13;0;6,7;11,3;0,56;3,99;279;10;50;76;0,31;21;495;34;356;56,1;0,66
Abborre rÂ;1253;359;86;19,8;0,6;0;0;0,1;1;78,6;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0,1;0;0,1;0,2;;0;0;;0;0,2;0;0;0,1;0;77,8;15;15;0;21,4;0,7;0;0,15;0,11;0;5,3;8,9;0,47;3,49;219;12;8;60;0,24;16;389;27;33;44,1;0,52
A-fil  fett 3%;128;251;60;3,4;3;4,8;0;0,1;0,7;88;0;0;3,8;0;0;2;0,3;0,1;0,3;0,9;0,4;0;0,7;0;0,7;0,1;0;0,1;0;0;0;;0;0;0;0,1;10,2;26;25;14;0,02;0,1;;0,04;0,14;0;0,1;0,9;0,04;0,27;91;11;;0;0,04;116;162;12;41;1,8;0,44
After eight choklad mint;2246;1713;409;2,6;4,6;88,1;0;0;0,6;4,1;0;15,7;53,2;52,4;0;2,8;0;0;0;1,1;1,7;0,1;1,5;0;1,5;0,1;0,1;0,1;0;0;0;;0;0;0;0;0;0;0;2;0;0,2;3;0,02;0,03;0;0,3;0,7;0,02;0;77;5;0;;2,01;19;184;51;3;0;0,84
Agar torkad;537;1313;314;2,3;0,3;74,3;0;0;3,2;19,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0,4;0;0;14;0;;0;9;690;29;33;4;0;0
Ajvar relish grˆnsakspasta m paprika aubergine;417;294;70;1,3;3,5;6,9;3,2;1,2;1,7;83,4;0;5;2,6;2,6;0;0,4;0;0;0;0,2;0,1;0;0,8;0;0,8;1,6;;1,6;0;;0,1;0;0;0;0;0;0;211;4;1900;0;5,4;6;0,03;0,2;61;1,2;1,4;0,59;0;27;52;8;0;0,9;11;228;12;493;0,3;0,21
Alaska pollock;4615;318;76;17,6;0,5;0;0;0,3;0,9;82,4;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0,1;0;0;0,2;0;0;0;0,2;0;0,2;0,1;0;0,1;0;70,6;5;5;0;0;0,9;0;0,07;0,07;0;0,8;4;0,06;1,74;151;3;44;;0,19;25;224;27;123;19;0,43
Alfalfagroddar;376;133;32;4;0,7;0,9;3;0;0,4;91;0;0,4;0,4;0;0;0,1;0;0;0;0,1;0;0;0,1;0;0,1;0,4;;0,2;0;;0,2;;0;0;0;0;0;8;0;96;0;0,2;;0,08;0,13;8;0,5;1,2;0,03;0;70;36;;0;1;32;79;27;6;1;0,9
Aloe Berry nectar Forever Living Products;2217;162;39;0;0,2;9,1;0;0;0,2;90,5;0;8,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;1,3;0;0;0;83;0;0;0;0;2;0;0;;0;36;57;6;17;0;0,03
Aloe Vera Juice med grˆnt te Naturapoteket;2216;124;30;0;0,4;6,5;0;0;0,2;93;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;0;5;60;3;7;0;0,03
Aloe Vera Juice Sasco;2214;12;3;0;0,1;0,5;0;0,1;0,3;99,2;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;0;17;55;3;38;0;0,03
Aloe Vera Juice Syreberikad Hela Pharma AB;2210;15;4;0;0,2;0,5;0;0;0;99,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;2;0;2;0;0
Aloe Vera naturell Forever Living Products;2218;78;19;0;0,1;4,4;0;0,1;0,2;95,3;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;1,5;0;0;0;54;0;0;0;0;1;0;0;;0;20;21;12;26;0;0,03
Ambrosiakaka sockerkaka m glasyr;1664;1583;378;3,8;16,1;53,9;0,7;0,4;0,8;24,6;0;3;34,8;34,5;0;7,8;0,7;0,4;0,8;4,6;1;0;5,3;0,1;5,2;2,1;0,7;1,5;0;0,2;0,4;0;0;0;0;0,3;60,8;160;74;33;1,14;2,1;4;0,12;0,08;4;0,9;1,7;0,09;0,18;109;17;4;1;0,52;58;62;8;165;3,3;0,35
Amerikanska cookies choklad;1621;2032;486;5,2;22,9;63,3;2,5;0,8;1,6;4,5;0;3,7;40,2;38,5;0;10,1;0,3;0,4;0,4;5,5;3,3;0,1;9,6;0,1;9,3;2,2;;1,8;0;;0,4;0;0;0;0;1,9;27,5;43;41;16;0;3,1;40;0,02;0,13;0;0,6;1,5;0,06;0,14;145;17;10;0;2,71;55;339;40;323;3,8;0,94
Amerikanska muffins ospec;1677;1804;431;5,8;24,3;46,8;1,6;0,7;1,3;20,2;0;0,5;25,4;24,2;0;2,2;0;0;0;1,4;0,6;0,1;14;0,1;13,5;6,7;;4,7;0;;1,8;0;0;0;0;0,1;63,7;42;41;2;0;3,1;40;0,03;0,12;0;0,4;1,9;0,05;0;212;16;9;0;1,07;35;183;16;292;4,5;0,55
